feature,bin,count,goods,bads,bad_rate,woe,iv_contribution
dependents,"(-inf, 0]",54162,51005,3157,0.05828809866696208,0.14885542083935654,0.012558549109501245
dependents,"(0, 1]",15714,14549,1165,0.07413771159475627,-0.10889102469286822,0.0021797564559716182
dependents,"(1, 2]",11794,10844,950,0.08054943191453282,-0.19887231789088383,0.005675106737904328
dependents,"(2, inf)",7950,7216,734,0.09232704402515723,-0.34836211977137577,0.012529794280604705
times_30_59_dpd,"(-inf, 0]",75386,72356,3030,0.04019313930968615,0.5395801937182122,0.19471201860404438
times_30_59_dpd,"(0, 1]",9509,8055,1454,0.1529077715848144,-0.9216045849692768,0.1343642412151124
times_30_59_dpd,"(1, inf)",4576,3147,1429,0.31228146853146854,-1.844013719808926,0.36941052743085423
times_30_59_dpd,Missing,149,56,93,0.6241610738255033,-3.137018272107308,0.04670850144406287
times_60_89_dpd,"(-inf, inf)",89471,83558,5913,0.06608845324183255,0.01501163868033464,0.00022351516190154263
times_60_89_dpd,Missing,149,56,93,0.6241610738255033,-3.137018272107308,0.04670850144406287
times_90_dpd,"(-inf, 0]",84643,80703,3940,0.046548444643975284,0.3861768520668553,0.11940395490445462
times_90_dpd,"(0, inf)",4828,2855,1973,0.40865782932891465,-2.263859130963046,0.6664412048471723
times_90_dpd,Missing,149,56,93,0.6241610738255033,-3.137018272107308,0.04670850144406287
monthly_debt_amount,"(-inf, 0]",76126,70900,5226,0.06864934450778971,-0.025761826256293533,0.0005700651823895986
monthly_debt_amount,"(0, inf)",13494,12714,780,0.057803468208092484,0.15726613952897311,0.0034800308651406473
total_delinquencies,"(-inf, 0]",71689,69640,2049,0.02858179079077683,0.8924529597286315,0.4388062801626167
total_delinquencies,"(0, 1]",10319,9028,1291,0.12510902219207287,-0.6887155668450219,0.073707806945052
total_delinquencies,"(1, inf)",7612,4946,2666,0.35023646873357855,-2.0153839692424413,0.7754003175861489
worst_delinquency_severity,"(-inf, 0]",71689,69640,2049,0.02858179079077683,0.8924529597286315,0.4388062801626167
worst_delinquency_severity,"(0, 1]",10259,9002,1257,0.12252656204308413,-0.6649207804159256,0.06760450098489218
worst_delinquency_severity,"(1, inf)",7672,4972,2700,0.35192909280500523,-2.02281168326988,0.7890783126044307
delinquencies_per_credit_line,"(-inf, 0]",71689,69640,2049,0.02858179079077683,0.8924529597286315,0.4388062801626167
delinquencies_per_credit_line,"(0, 0.142857]",7174,6380,794,0.11067744633398383,-0.5500087167678013,0.03077534277740311
delinquencies_per_credit_line,"(0.142857, inf)",10757,7594,3163,0.29404108952310126,-1.7575521824739273,0.7659563333730391
unsecured_lines,"(-inf, 3]",17378,15728,1650,0.09494763494072966,-0.37890139293923053,0.032834297247637874
unsecured_lines,"(3, inf)",72242,67886,4356,0.060297333960853794,0.11287073634595057,0.009780991510730844
real_estate_share_of_lines,"(-inf, 0]",33411,30640,2771,0.082936757355362,-0.23036350056568042,0.02186863381273341
real_estate_share_of_lines,"(0, inf)",56209,52974,3235,0.057553060897721005,0.16232971621522876,0.015410119711319578
monthly_debt_service,"(-inf, 208.727]",11203,10529,674,0.060162456484870126,0.11466697100696079,0.0015643665594736278
monthly_debt_service,"(208.727, 2771.48]",56012,52306,3706,0.06616439334428337,0.013735137251479564,0.00011720829289059766
monthly_debt_service,"(2771.48, 4213.59]",11202,10445,757,0.06757721835386538,-0.009394468709482072,1.1077227311381651e-05
monthly_debt_service,"(4213.59, inf)",11203,10334,869,0.07756850843524056,-0.157972716107509,0.0033413677318403713
disposable_income,"(-inf, 1995.37]",22405,20311,2094,0.09346128096407053,-0.36142510726116284,0.038224175963588014
disposable_income,"(1995.37, 2981.01]",11206,10273,933,0.08325896840978048,-0.2349153936407695,0.007643047609666253
disposable_income,"(2981.01, 3722.17]",11199,10413,786,0.0701848379319582,-0.05003187618432341,0.0003196801609308222
disposable_income,"(3722.17, 5190.23]",22405,21130,1275,0.05690694041508592,0.1740817618215433,0.007028764478451563
disposable_income,"(5190.23, 7383.33]",11202,10691,511,0.0456168541331905,0.40655925287294703,0.017366241903217627
disposable_income,"(7383.33, inf)",11203,10796,407,0.03632955458359368,0.6436388798689071,0.03944479485418102
income_per_dependent,"(-inf, 1403.34]",11203,9961,1242,0.11086316165312862,-0.5516952902869674,0.04838737057827236
income_per_dependent,"(1403.34, 2150]",11253,10294,959,0.0852217186528037,-0.26034473839601735,0.00953185949968305
income_per_dependent,"(2150, 2940]",11157,10318,839,0.07519942636909563,-0.12441027084847885,0.0020339498413511456
income_per_dependent,"(2940, 3910.75]",11197,10449,748,0.066803608109315,0.002940731533561259,1.079154579448189e-06
income_per_dependent,"(3910.75, 4666]",11241,10656,585,0.05204163330664532,0.2681616565984595,0.008038845448522576
income_per_dependent,"(4666, 7291]",22367,21213,1154,0.05159386596324943,0.27767294768704126,0.017080228551672537
income_per_dependent,"(7291, inf)",11202,10723,479,0.04276022138903767,0.4741515055864617,0.022960777553428947
log_monthly_income,"(-inf, 8.24302]",22611,20490,2121,0.09380390075626907,-0.3654594955248345,0.03951113995845672
log_monthly_income,"(8.24302, 8.65713]",22196,20639,1557,0.07014777437376103,-0.04917273013079787,0.0006117656628492243
log_monthly_income,"(8.65713, 8.90697]",22408,21136,1272,0.0567654409139593,0.17672046041352946,0.007236243442675891
log_monthly_income,"(8.90697, 9.21044]",11390,10823,567,0.049780509218612816,0.3149367518192905,0.011013767459197093
log_monthly_income,"(9.21044, inf)",11015,10526,489,0.044394008170676354,0.4349692302749832,0.01931446926984172
utilisation_x_delinquency,"(-inf, 0.0773043]",33608,33125,483,0.014371578195667698,1.5937098686558167,0.5030983895991401
utilisation_x_delinquency,"(0.0773043, 0.170068]",11202,10958,244,0.021781824674165326,1.1693579069417852,0.1056590956429695
utilisation_x_delinquency,"(0.170068, 0.353947]",11202,10845,357,0.03186930905195501,0.7790726902945667,0.05468598527542789
utilisation_x_delinquency,"(0.353947, 0.674877]",11203,10633,570,0.050879228778005894,0.2919540306959898,0.009400810615020395
utilisation_x_delinquency,"(0.674877, 1]",11409,10365,1044,0.09150670523271101,-0.33835279198851526,0.01688836572637152
utilisation_x_delinquency,"(1, inf)",10996,7688,3308,0.3008366678792288,-1.7900666824614284,0.8213235720475148
flag_delinquency_sentinel,"(-inf, inf)",89620,83614,6006,0.06701629100647177,7.725988253722341e-05,5.968823177508217e-09
flag_monthly_income_missing,"(-inf, 0]",72201,67170,5031,0.06968047533967674,-0.04178146130592922,0.0014320756342854604
flag_monthly_income_missing,"(0, inf)",17419,16444,975,0.0559733624203456,0.19149871975447674,0.00656369217316792
flag_debt_ratio_is_amount,"(-inf, 0]",76126,70900,5226,0.06864934450778971,-0.025761826256293533,0.0005700651823895986
flag_debt_ratio_is_amount,"(0, inf)",13494,12714,780,0.057803468208092484,0.15726613952897311,0.0034800308651406473
