applicant_id,day,description,amount,balance_after,true_category
0,50,CASH WDL ATM 67792,-50.0,1012.22,cash
0,51,APPLE.COM/BILL,-7.99,1062.22,subscriptions
0,52,MORRISONS STORE 62882,-28.43,1607.16,groceries
0,52,BOOTS THE CHEMIST 59365,-49.7,1219.41,shopping
0,52,KLARNA* PYMT 79726,-297.63,664.59,debt_repayment
0,53,LIDL GB 84754,-31.38,1635.59,groceries
0,54,TESCO STORES 59069,-36.37,1835.97,groceries
0,54,ALDI 90346,-44.55,1791.42,groceries
0,54,BP EXPRESS 98643,-20.66,1512.56,transport
0,56,M&S SIMPLY FOOD,-47.18,1559.98,groceries
0,56,AMAZON PRIME 34168,-34.99,1070.21,subscriptions
0,57,NANDOS 39887,-21.32,1285.96,eating_out
0,60,UC PAYMENT DWP,2507.18,3171.77,income
0,62,UBER *EATS 13458,-22.97,1264.12,eating_out
0,62,DISNEY PLUS,-15.99,1051.62,subscriptions
0,63,BOOTS THE CHEMIST 13155,-17.33,1092.6,shopping
0,64,NANDOS 63339,-17.25,1335.61,eating_out
0,65,ALDI 4064,-34.29,1571.99,groceries
0,65,UBER *TRIP 63910,-15.3,1431.16,transport
0,65,BOOTS THE CHEMIST 90407,-15.03,1109.93,shopping
0,66,TESCO STORES 30654,-34.15,1725.46,groceries
0,66,CO-OP GROUP 23774,-35.94,1606.28,groceries
0,67,ICELAND FOODS,-27.88,1759.61,groceries
0,68,UBER *TRIP 62697,-11.25,1497.99,transport
0,68,UBER *TRIP 66307,-17.27,1480.72,transport
0,69,TFL TRAVEL CH,-11.68,1352.86,transport
0,70,UBER *TRIP 8448,-17.32,1382.42,transport
0,70,COSTA COFFEE 53997,-22.67,1208.76,eating_out
0,72,TESCO STORES 25969,-23.58,1787.49,groceries
0,72,ALDI 57049,-23.4,1675.81,groceries
0,73,ICELAND FOODS,-38.77,1533.22,groceries
0,74,ASDA SUPERSTORE,-41.02,1811.07,groceries
0,76,SAINSBURYS SMKT 67818,-26.25,1699.21,groceries
0,76,AMZNMktplace 34515,-30.75,1160.74,shopping
0,77,SPOTIFY UK 80784,-24.99,1067.61,subscriptions
0,78,GWR TICKET OFFICE,-15.81,1399.74,transport
0,79,RENT PAYMENT REF46846,-1110.01,2061.76,housing
0,79,UBER *EATS 52512,-32.69,1231.43,eating_out
0,79,JUST EAT 20968,-17.27,1191.49,eating_out
0,80,SHELL SERVICE STN,-17.88,1364.54,transport
0,80,AMAZON PRIME 34168,-34.99,1016.63,subscriptions
0,81,GWR TICKET OFFICE,-17.0,1446.46,transport
0,81,ZARA UK 30039,-35.78,1124.96,shopping
0,82,BT GROUP PLC DD,-209.67,1852.09,utilities
0,82,TFL TRAVEL CH,-15.61,1415.55,transport
0,83,M&S SIMPLY FOOD,-23.98,1509.24,groceries
0,83,KLARNA* PYMT 79726,-297.63,711.01,debt_repayment
0,84,UBER *TRIP 13000,-17.26,1463.46,transport
0,85,APPLE.COM/BILL,-7.99,1008.64,subscriptions
0,86,CO-OP GROUP 81176,-33.59,1642.22,groceries
0,86,JUST EAT 25351,-22.93,1312.68,eating_out
0,87,COSTA COFFEE 59551,-25.59,1287.09,eating_out
0,90,UC PAYMENT DWP,2408.54,3119.55,income
0,90,NCP CAR PARK,-30.15,1693.02,transport
0,91,ASOS.COM,-22.02,1275.73,shopping
0,92,TESCO STORES 77668,-37.31,2165.15,groceries
0,93,JUST EAT 33933,-44.09,1595.84,eating_out
0,93,AMAZON PRIME 34168,-34.99,1199.76,subscriptions
0,94,ARGOS RETAIL 53534,-16.65,1526.78,shopping
0,94,AMZNMktplace 11110,-31.41,1401.73,shopping
0,94,CASH WDL ATM 56925,-20.0,1171.77,cash
0,95,BT GROUP PLC DD,-164.25,2232.83,utilities
0,95,LIDL GB 64487,-38.73,1950.84,groceries
0,96,ARGOS RETAIL 6853,-43.64,1433.14,shopping
0,96,SPOTIFY UK 80784,-24.99,1250.74,subscriptions
0,97,ASDA SUPERSTORE,-33.54,2030.21,groceries
0,97,WAGAMAMA 36399,-38.49,1654.53,eating_out
0,98,RENT PAYMENT REF46846,-722.47,2397.08,housing
0,98,WAITROSE 45386,-30.37,2202.46,groceries
0,98,CO-OP GROUP 19856,-30.76,1843.31,groceries
0,98,ASOS.COM,-24.74,1376.99,shopping
0,100,ASDA SUPERSTORE,-24.25,2101.65,groceries
0,100,DELIVEROO 76060,-14.6,1639.93,eating_out
0,101,ICELAND FOODS,-37.18,1913.66,groceries
0,101,APPLE.COM/BILL,-7.99,1191.77,subscriptions
0,102,DELIVEROO 67896,-14.1,1543.43,eating_out
0,102,ZARA UK 75165,-19.71,1476.78,shopping
0,103,TFL TRAVEL CH,-27.89,1753.22,transport
0,104,DISNEY PLUS,-15.99,1234.75,subscriptions
0,105,SAINSBURYS SMKT 88866,-40.64,1989.57,groceries
0,106,NCP CAR PARK,-33.87,1809.44,transport
0,106,ZARA UK 75063,-30.29,1496.49,shopping
0,109,PRET A MANGER 92064,-38.31,1557.53,eating_out
0,110,TRAINLINE 37879,-28.33,1781.11,transport
0,110,AMZNMktplace 93988,-30.65,1346.34,shopping
0,112,SAINSBURYS SMKT 28105,-37.9,2063.75,groceries
0,113,CO-OP GROUP 33409,-39.25,2125.9,groceries
0,113,TFL TRAVEL CH,-30.05,1723.17,transport
0,114,KLARNA* PYMT 79726,-297.63,874.14,debt_repayment
0,116,TESCO STORES 77733,-39.59,1874.07,groceries
0,117,JD SPORTS 91639,-48.59,1297.75,shopping
0,120,UC PAYMENT DWP,2417.33,3291.47,income
0,121,APPLE.COM/BILL,-7.99,1272.66,subscriptions
0,122,ASOS.COM,-35.11,1407.01,shopping
0,123,DISNEY PLUS,-15.99,1315.64,subscriptions
0,124,NCP CAR PARK,-16.91,1706.74,transport
0,127,BT GROUP PLC DD,-173.7,2137.7,utilities
0,127,WAITROSE 62889,-36.46,2101.24,groceries
0,127,TFL TRAVEL CH,-14.78,1655.13,transport
0,129,SAINSBURYS SMKT 54450,-28.23,1991.91,groceries
0,129,UBER *TRIP 32856,-16.72,1723.65,transport
0,129,BP EXPRESS 15597,-18.49,1669.91,transport
0,132,DELIVEROO 69242,-24.16,1587.02,eating_out
0,132,SPOTIFY UK 80784,-24.99,1331.63,subscriptions
0,133,AMZNMktplace 72071,-28.75,1475.59,shopping
0,134,M&S SIMPLY FOOD,-36.06,1863.88,groceries
0,135,KLARNA* PYMT 79726,-297.63,975.03,debt_repayment
0,136,M&S SIMPLY FOOD,-26.72,1811.0,groceries
0,136,NCP CAR PARK,-12.73,1627.09,transport
0,137,AMZNMktplace 91374,-50.39,1356.62,shopping
0,137,AMAZON PRIME 34168,-34.99,1280.65,subscriptions
0,138,DELIVEROO 55214,-17.06,1531.32,eating_out
0,138,ZARA UK 76382,-12.46,1504.34,shopping
0,139,BP EXPRESS 68178,-17.73,1740.37,transport
0,139,NCP CAR PARK,-15.91,1611.18,transport
0,140,PRET A MANGER 45442,-38.64,1548.38,eating_out
0,141,ALDI 33841,-26.16,1837.72,groceries
0,141,IKEA LTD 72810,-14.52,1516.8,shopping
0,142,ALDI 18019,-44.2,2020.14,groceries
0,143,RENT PAYMENT REF46846,-980.07,2311.4,housing
0,143,ASDA SUPERSTORE,-46.29,1899.94,groceries
0,143,MORRISONS STORE 10090,-35.36,1775.64,groceries
0,143,BP EXPRESS 97128,-18.34,1688.4,transport
0,146,IKEA LTD 95912,-33.47,1442.12,shopping
0,147,ALDI 94499,-36.9,2064.34,groceries
0,147,ASDA SUPERSTORE,-45.68,1946.23,groceries
0,147,NCP CAR PARK,-17.54,1758.1,transport
0,147,SHELL SERVICE STN,-15.31,1639.82,transport
0,150,UC PAYMENT DWP,2391.8,3366.83,income
0,154,MORRISONS STORE 80033,-36.23,2154.9,groceries
0,154,APPLE.COM/BILL,-7.99,1560.65,subscriptions
0,155,IKEA LTD 59560,-14.17,1764.83,shopping
0,156,SHELL SERVICE STN,-11.66,2028.05,transport
0,156,BP EXPRESS 77369,-12.29,2003.62,transport
0,156,CASH WDL ATM 39693,-40.0,1520.65,cash
0,157,RENT PAYMENT REF46846,-726.95,2639.88,housing
0,157,BP EXPRESS 37979,-14.74,2050.5,transport
0,158,GWR TICKET OFFICE,-11.46,1975.73,transport
0,158,ARGOS RETAIL 53224,-34.41,1820.05,shopping
0,158,BOOTS THE CHEMIST 77073,-41.05,1779.0,shopping
0,158,ASOS.COM,-22.5,1644.61,shopping
0,160,TESCO STORES 78544,-48.42,2106.48,groceries
0,161,MORRISONS STORE 15484,-41.41,2412.37,groceries
0,161,ASDA SUPERSTORE,-41.53,2283.41,groceries
0,161,UBER *TRIP 29334,-10.79,2039.71,transport
0,162,ICELAND FOODS,-46.15,2453.78,groceries
0,162,GWR TICKET OFFICE,-15.02,2091.46,transport
0,163,TESCO STORES 81908,-43.02,2369.35,groceries
0,163,MORRISONS STORE 50414,-46.27,2191.13,groceries
0,163,TFL TRAVEL CH,-14.8,1960.93,transport
0,164,SPOTIFY UK 80784,-24.99,1619.62,subscriptions
0,166,NCP CAR PARK,-13.78,2065.24,transport
0,166,ARGOS RETAIL 36348,-40.08,1694.51,shopping
0,167,AMAZON PRIME 34168,-34.99,1568.64,subscriptions
0,167,LINK ATM WDL 97058,-20.0,1500.65,cash
0,168,CO-OP GROUP 41771,-44.41,2324.94,groceries
0,168,JD SPORTS 63751,-27.4,1667.11,shopping
0,171,BOOTS THE CHEMIST 37397,-30.77,1854.46,shopping
0,171,KLARNA* PYMT 79726,-297.63,1203.02,debt_repayment
0,172,ARGOS RETAIL 6339,-30.24,1734.59,shopping
0,173,JUST EAT 47419,-38.38,1885.23,eating_out
0,174,BT GROUP PLC DD,-139.95,2499.93,utilities
0,174,GWR TICKET OFFICE,-12.44,2079.02,transport
0,174,NANDOS 49502,-20.64,1940.29,eating_out
0,174,DISNEY PLUS,-15.99,1603.63,subscriptions
0,175,ALDI 42435,-46.01,2237.4,groceries
0,176,NCP CAR PARK,-16.43,1987.19,transport
0,177,UBER *TRIP 44792,-12.14,2015.91,transport
0,177,GREGGS PLC 27863,-16.68,1923.61,eating_out
1,0,SALARY 34449 BACS,3195.77,3584.47,income
1,0,LIDL GB 16588,-78.67,2295.72,groceries
1,1,GWR TICKET OFFICE,-30.17,1830.86,transport
1,2,BOOTS THE CHEMIST 94409,-16.93,1317.83,shopping
1,5,WAGAMAMA 89532,-41.77,1618.07,eating_out
1,6,AMZNMktplace 79968,-25.08,1292.75,shopping
1,7,VODAFONE UK,-286.58,2374.39,utilities
1,7,BOOTS THE CHEMIST 26926,-71.74,1164.08,shopping
1,8,PRIMARK STORES,-42.94,1434.52,shopping
1,9,TFL TRAVEL CH,-24.43,1740.61,transport
1,11,COSTA COFFEE 26138,-14.86,1572.88,eating_out
1,11,ZARA UK 72284,-33.04,1401.48,shopping
1,12,TESCO STORES 27036,-77.46,2122.66,groceries
1,14,SAINSBURYS SMKT 45038,-114.13,2008.53,groceries
1,15,ARGOS RETAIL 27178,-24.48,1477.46,shopping
1,16,BP EXPRESS 33183,-33.97,1861.03,transport
1,17,MORRISONS STORE 41817,-91.64,1916.89,groceries
1,17,UBER *EATS 67872,-46.45,1659.84,eating_out
1,17,GREGGS PLC 51335,-30.33,1587.74,eating_out
1,19,COSTA COFFEE 85162,-34.49,1538.39,eating_out
1,19,ARGOS RETAIL 40384,-66.72,1334.76,shopping
1,19,PAYPAL CREDIT 76791,-403.86,755.23,debt_repayment
1,20,APPLE.COM/BILL,-4.99,1159.09,subscriptions
1,21,PRIMARK STORES,-36.45,1501.94,shopping
1,22,BP EXPRESS 92387,-21.89,1895.0,transport
1,22,ARGOS RETAIL 22977,-56.93,1235.82,shopping
1,23,TESCO STORES 13334,-95.6,2200.12,groceries
1,23,GWR TICKET OFFICE,-34.32,1706.29,transport
1,26,DD HOUSING ASSOC,-923.5,2660.97,housing
1,26,TRAINLINE 10472,-31.97,1798.89,transport
1,26,TRAINLINE 11524,-33.85,1765.04,transport
1,28,SALARY 34449 BACS,3028.91,3784.14,income
1,28,VODAFONE UK,-231.16,2393.63,utilities
1,28,ARGOS RETAIL 36963,-47.29,1319.68,shopping
1,28,PAYPAL CREDIT 76791,-403.86,699.58,debt_repayment
1,29,POST OFFICE CNTR,-50.0,1103.44,cash
1,31,TFL TRAVEL CH,-35.87,1800.88,transport
1,32,UBER *EATS 46631,-17.02,1596.37,eating_out
1,32,TFR TO SAVINGS,-300.78,398.8,transfers
1,35,APPLE.COM/BILL,-4.99,1253.44,subscriptions
1,36,ALDI 45525,-104.61,2103.62,groceries
1,36,NANDOS 7793,-28.85,1638.05,eating_out
1,37,DD HOUSING ASSOC,-1159.35,2624.79,housing
1,37,COSTA COFFEE 89070,-24.41,1571.96,eating_out
1,38,TRAINLINE 69872,-43.66,1836.75,transport
1,41,TRAINLINE 86219,-43.8,1713.68,transport
1,41,UBER *TRIP 44861,-46.78,1666.9,transport
1,42,ASOS.COM,-21.13,1523.56,shopping
1,44,PRET A MANGER 18589,-24.66,1613.39,eating_out
1,49,ASDA SUPERSTORE,-105.0,1880.41,groceries
1,49,AMZNMktplace 38366,-61.25,1258.43,shopping
1,50,CO-OP GROUP 90970,-112.52,2208.23,groceries
1,50,BOOTS THE CHEMIST 59521,-20.63,1434.38,shopping
1,51,SAINSBURYS SMKT 27497,-72.88,2320.75,groceries
1,51,ASOS.COM,-68.55,1455.01,shopping
1,53,ASDA SUPERSTORE,-118.21,1985.41,groceries
1,53,DELIVEROO 57267,-27.27,1544.69,eating_out
1,54,TRAINLINE 20553,-43.4,1757.48,transport
1,54,BOOTS THE CHEMIST 1345,-67.41,1366.97,shopping
1,55,POST OFFICE CNTR,-100.0,1153.44,cash
1,56,SALARY 34449 BACS,3148.83,3547.63,income
1,56,NANDOS 16314,-56.47,1252.85,eating_out
1,57,APPLE.COM/BILL,-4.99,928.3,subscriptions
1,59,MORRISONS STORE 73394,-55.4,1784.72,groceries
1,59,BP EXPRESS 98210,-25.07,1358.06,transport
1,60,SAINSBURYS SMKT 82982,-55.86,1622.77,groceries
1,60,GWR TICKET OFFICE,-27.27,1414.66,transport
1,62,BP EXPRESS 84929,-22.1,1533.01,transport
1,62,NANDOS 46532,-20.29,1146.52,eating_out
1,63,JD SPORTS 80731,-18.72,1096.46,shopping
1,65,VODAFONE UK,-233.99,2063.98,utilities
1,65,SHELL SERVICE STN,-22.41,1476.36,transport
1,66,LIDL GB 68696,-55.29,1678.63,groceries
1,67,ASDA SUPERSTORE,-50.8,1733.92,groceries
1,67,NANDOS 73376,-31.34,1115.18,eating_out
1,68,SAINSBURYS SMKT 45955,-55.58,1951.57,groceries
1,69,SHELL SERVICE STN,-31.53,1383.13,transport
1,70,GREGGS PLC 13997,-22.02,1194.64,eating_out
1,72,SAINSBURYS SMKT 16676,-53.65,1897.92,groceries
1,72,COSTA COFFEE 24506,-36.19,1216.66,eating_out
1,72,PAYPAL CREDIT 76791,-403.86,424.44,debt_repayment
1,75,TFL TRAVEL CH,-34.24,1498.77,transport
1,77,DD HOUSING ASSOC,-1249.66,2297.97,housing
1,77,TESCO STORES 80296,-56.83,2007.15,groceries
1,77,GREGGS PLC 80839,-19.62,1338.44,eating_out
1,77,ARGOS RETAIL 40513,-31.72,1064.74,shopping
1,78,CO-OP GROUP 10219,-67.66,1555.11,groceries
1,80,MORRISONS STORE 57959,-57.8,1840.12,groceries
1,80,UBER *EATS 25100,-29.12,1309.32,eating_out
1,80,ASOS.COM,-60.95,1003.79,shopping
1,80,ASOS.COM,-70.5,933.29,shopping
1,82,TFL TRAVEL CH,-34.43,1441.93,transport
1,83,DELIVEROO 85768,-27.83,1166.81,eating_out
1,83,LINK ATM WDL 30088,-100.0,828.3,cash
1,84,SALARY 34449 BACS,3192.62,3617.06,income
1,85,NANDOS 46923,-50.74,1428.6,eating_out
1,86,TESCO STORES 93801,-72.74,1883.86,groceries
1,88,UBER *TRIP 41167,-25.38,1637.78,transport
1,90,NCP CAR PARK,-19.77,1520.56,transport
1,90,ASOS.COM,-33.01,1342.49,shopping
1,93,BOOTS THE CHEMIST 18738,-54.0,1227.21,shopping
1,94,ICELAND FOODS,-58.24,1825.62,groceries
1,94,BP EXPRESS 40648,-27.02,1540.33,transport
1,97,VODAFONE UK,-174.82,2147.63,utilities
1,97,GWR TICKET OFFICE,-27.05,1567.35,transport
1,97,TRAINLINE 38672,-20.71,1499.85,transport
1,100,APPLE.COM/BILL,-4.99,1146.43,subscriptions
1,101,LIDL GB 56901,-59.89,1765.73,groceries
1,101,GWR TICKET OFFICE,-23.66,1663.16,transport
1,101,POST OFFICE CNTR,-200.0,946.43,cash
1,102,NANDOS 23087,-53.1,1375.5,eating_out
1,103,GWR TICKET OFFICE,-25.01,1612.77,transport
1,103,JD SPORTS 49952,-61.28,1281.21,shopping
1,104,TFL TRAVEL CH,-20.51,1479.34,transport
1,104,ASOS.COM,-18.73,1151.42,shopping
1,105,ASOS.COM,-34.09,1170.15,shopping
1,105,PAYPAL CREDIT 76791,-403.86,542.57,debt_repayment
1,107,DD HOUSING ASSOC,-1294.61,2322.45,housing
1,107,M&S SIMPLY FOOD,-78.91,1686.82,groceries
1,111,ASDA SUPERSTORE,-90.42,2057.21,groceries
1,111,SAINSBURYS SMKT 70858,-100.61,1956.6,groceries
1,111,TRAINLINE 45348,-18.37,1594.4,transport
1,111,IKEA LTD 15913,-22.97,1204.24,shopping
1,112,SALARY 34449 BACS,3256.19,3798.76,income
1,112,WAITROSE 55050,-58.35,1670.22,groceries
1,112,COSTA COFFEE 63357,-20.1,1426.79,eating_out
1,114,NCP CAR PARK,-31.6,1638.62,transport
1,114,IKEA LTD 90289,-25.86,1400.93,shopping
1,114,PRIMARK STORES,-63.35,1301.2,shopping
1,115,APPLE.COM/BILL,-4.99,1296.21,subscriptions
1,116,DD HOUSING ASSOC,-1471.93,2326.83,housing
1,117,ICELAND FOODS,-66.36,2076.13,groceries
1,118,BP EXPRESS 89778,-49.11,1480.69,transport
1,120,TESCO STORES 99063,-86.02,1990.11,groceries
1,126,ASDA SUPERSTORE,-85.83,1801.52,groceries
1,126,TFL TRAVEL CH,-28.56,1610.06,transport
1,126,JD SPORTS 18224,-36.38,1364.55,shopping
1,128,ALDI 93461,-72.95,1728.57,groceries
1,128,PAYPAL CREDIT 76791,-403.86,842.35,debt_repayment
1,129,UBER *EATS 31872,-18.49,1462.2,eating_out
1,132,VODAFONE UK,-184.34,2142.49,utilities
1,134,TESCO STORES 80073,-102.76,1887.35,groceries
1,135,JUST EAT 99140,-15.31,1446.89,eating_out
1,136,TFL TRAVEL CH,-43.28,1529.8,transport
1,137,GWR TICKET OFFICE,-36.98,1573.08,transport
1,139,CASH WDL ATM 23230,-50.0,1246.21,cash
1,140,SALARY 34449 BACS,3177.86,4020.21,income
1,141,BP EXPRESS 57957,-22.63,2046.07,transport
1,143,TFL TRAVEL CH,-17.53,2068.7,transport
1,145,BP EXPRESS 50306,-19.72,2122.77,transport
1,146,MORRISONS STORE 31946,-87.53,2185.13,groceries
1,146,TFL TRAVEL CH,-22.2,1994.25,transport
1,147,APPLE.COM/BILL,-4.99,1750.19,subscriptions
1,148,GWR TICKET OFFICE,-15.18,2086.23,transport
1,150,PAYPAL CREDIT 76791,-403.86,1306.33,debt_repayment
1,151,UBER *TRIP 50564,-15.51,2154.82,transport
1,151,UBER *EATS 41510,-24.2,1886.66,eating_out
1,153,ASOS.COM,-73.84,1755.18,shopping
1,154,VODAFONE UK,-159.13,2615.82,utilities
1,154,GWR TICKET OFFICE,-16.81,2016.45,transport
1,154,CASH WDL ATM 72792,-20.0,1730.19,cash
1,156,DD HOUSING ASSOC,-1245.26,2774.95,housing
1,157,UBER *EATS 57647,-49.56,1910.86,eating_out
1,158,SHELL SERVICE STN,-12.81,2033.26,transport
1,159,UBER *EATS 89298,-33.83,1960.42,eating_out
1,160,SHELL SERVICE STN,-12.33,2142.49,transport
1,161,LINK ATM WDL 73071,-20.0,1710.19,cash
1,162,MORRISONS STORE 95855,-135.43,2390.56,groceries
1,162,CO-OP GROUP 17787,-117.9,2272.66,groceries
1,164,SAINSBURYS SMKT 12995,-89.83,2525.99,groceries
1,164,GWR TICKET OFFICE,-21.36,2101.41,transport
1,165,GWR TICKET OFFICE,-14.8,2170.33,transport
1,167,ARGOS RETAIL 31075,-57.64,1829.02,shopping
1,168,SALARY 34449 BACS,3169.64,4475.97,income
1,171,WAGAMAMA 92247,-53.05,2230.97,eating_out
1,171,CASH WDL ATM 99073,-200.0,1728.94,cash
1,172,VODAFONE UK,-279.17,2940.46,utilities
1,175,WAGAMAMA 18943,-20.51,2189.59,eating_out
1,175,GREGGS PLC 11563,-42.41,2147.18,eating_out
1,175,PAYPAL CREDIT 76791,-403.86,1325.08,debt_repayment
1,176,ZARA UK 46394,-40.11,2078.29,shopping
1,180,GWR TICKET OFFICE,-27.3,2403.28,transport
1,180,TRAINLINE 63126,-27.4,2350.58,transport
1,182,TRAINLINE 42286,-15.85,2446.79,transport
1,182,SHELL SERVICE STN,-18.69,2284.02,transport
1,183,CO-OP GROUP 21457,-87.43,2553.59,groceries
1,183,GWR TICKET OFFICE,-19.82,2462.64,transport
1,184,TRAINLINE 5048,-21.65,2302.71,transport
1,185,BP EXPRESS 66973,-16.21,2430.58,transport
1,188,ASDA SUPERSTORE,-118.05,2725.72,groceries
1,188,PRIMARK STORES,-34.85,1973.74,shopping
1,189,PRIMARK STORES,-39.81,1933.93,shopping
1,190,WAITROSE 72023,-84.7,2641.02,groceries
1,192,NCP CAR PARK,-25.3,2377.98,transport
1,192,TFL TRAVEL CH,-26.22,2324.36,transport
1,192,APPLE.COM/BILL,-4.99,1928.94,subscriptions
1,193,DD HOUSING ASSOC,-1256.34,3219.63,housing
1,193,ASDA SUPERSTORE,-71.13,2482.46,groceries
1,193,DELIVEROO 27052,-20.87,2210.1,eating_out
1,194,WAITROSE 46592,-96.69,2843.77,groceries
1,194,IKEA LTD 36832,-28.78,2118.4,shopping
1,194,ARGOS RETAIL 43366,-69.7,2008.59,shopping
2,0,UC PAYMENT DWP,1773.21,2197.97,income
2,0,POST OFFICE CNTR,-50.0,832.88,cash
2,1,CASH WDL ATM 28244,-40.0,792.88,cash
2,2,TESCO STORES 9548,-34.98,1479.48,groceries
2,2,ASOS.COM,-13.14,1015.39,shopping
2,4,M&S SIMPLY FOOD,-29.88,1629.87,groceries
2,4,TFL TRAVEL CH,-9.73,1343.93,transport
2,5,VIRGIN MEDIA 46635,-128.54,1748.53,utilities
2,5,BOOTS THE CHEMIST 81818,-22.83,1091.15,shopping
2,8,TRAINLINE 82253,-10.24,1425.06,transport
2,8,UBER *EATS 26283,-11.25,1270.41,eating_out
2,9,ASOS.COM,-30.92,1156.89,shopping
2,10,MORRISONS STORE 64961,-27.84,1602.03,groceries
2,10,PRIMARK STORES,-29.46,1061.69,shopping
2,11,TFL TRAVEL CH,-12.31,1393.78,transport
2,11,ASOS.COM,-25.59,958.64,shopping
2,12,DELIVEROO 9656,-33.93,1201.99,eating_out
2,13,ICELAND FOODS,-26.99,1575.04,groceries
2,13,TFL TRAVEL CH,-7.04,1443.13,transport
2,14,UBER *TRIP 65378,-7.83,1435.3,transport
2,14,SPOTIFY UK 54236,-4.99,922.88,subscriptions
2,15,NCP CAR PARK,-6.79,1406.09,transport
2,15,DELIVEROO 85697,-30.24,1313.69,eating_out
2,16,SHELL SERVICE STN,-11.1,1353.66,transport
2,16,COSTA COFFEE 78732,-34.49,1235.92,eating_out
2,16,AMZNMktplace 95137,-30.77,927.87,shopping
2,17,RENT PAYMENT REF81020,-320.9,1877.07,housing
2,19,CO-OP GROUP 93547,-26.07,1514.46,groceries
2,19,POST OFFICE CNTR,-40.0,882.88,cash
2,20,PRET A MANGER 26654,-14.18,1187.81,eating_out
2,21,BOOTS THE CHEMIST 29056,-33.16,1028.53,shopping
2,22,UBER *TRIP 30185,-11.26,1371.99,transport
2,23,ASDA SUPERSTORE,-31.4,1717.13,groceries
2,23,ALDI 79471,-34.51,1540.53,groceries
2,23,KLARNA* PYMT 56736,-282.27,310.61,debt_repayment
2,24,WAITROSE 53898,-26.17,1659.75,groceries
2,24,UBER *TRIP 29459,-10.53,1383.25,transport
2,24,PRIMARK STORES,-31.16,984.23,shopping
2,25,UBER *TRIP 69276,-12.18,1412.88,transport
